Run Area,Station Name
111,Bayview Ave
112,Bathurst St
113,Seneca Hill Dr
114,Canterbury Pl
115,Parkway Forest Dr
116,Esther Shiner Blvd
121,William Carson Cres
122,Bayview Ave
123,Bond Ave
125,Leslie St
131,Yonge St
132,Lawrence Ave W
133,Lawrence Ave W
134,Montgomery Ave
135,Chaplin Cres
141,Keele St
142,Jane St
143,Sheppard Ave W
145,Belford Rd
146,Jane St
211,Tapscott Rd
212,Sheppard Ave E
213,Lapsley Rd
214,Meadowvale Rd
215,Lawrence Ave E
221,Eglinton Ave E
222,Warden Ave
223,Dorest Rd
224,Woodbine Ave
225,Danfroth Ave
226,Main St
227,Queen St E
231,Markham Rd
232,Midland Ave
233,Curlew Dr
234,Coronation Dr
235,Bermondsey Rd
241,Warden Ave
242,Brimley Rd
243,Sheppard Ave E
244,Birchmount Rd
245,Birchmount Rd
311,Balmoral Ave
312,Yorkville Ave
313,Bloor St E
314,Grosvenor St
315,Bellevue Ave
321,McRae Dr
322,Cosburn Ave
323,Chatham Ave
324,Gerrard St E
325,Dundas St E
326,Knox Ave
331,Claremont St
332,Adelaide St W
333,Front St E
334,Queens Quay W
335,Cibola Ave
341,Oakwood Ave
342,Ascot Ave
343,Hendrick Ave
344,Howland Ave
345,Dufferin St
346,Quebec St
411,Toryork Dr
412,Humberline Dr
413,Albion Rd
415,Kipling Ave
421,Lambton Ave
422,Jane St
423,Keele St
425,Deforest Rd
426,Lansdowne Ave
431,Prince Edward Dr S
432,The East Mall
433,Royal York Rd
434,Lunness Rd
435,Eighth St
441,Martin Grove Rd
441,Lawrence Ave W
443,Islington Ave
444,Renforth Dr
445,Burnhamthorpe Rd
